survida,survidn,survproglab,survprogname,sampframe,wbid,unid,unidyear,wbidyear,year,wave,survversion,RegionUN,sampsize,Region5,Region6,Region7,Region10,continent,module,collectmode,collectlanguage,collectdates,weight,public,longitudinal,oldsurvid,popage,designeffect,marginerror,exclusion,nationalsurvey,resprate,founder,survecat,status,type,globbaro,active,progparent,oversampl,proglab,startyear,founder2,country
AFG2009111,42009111,GWP,Gallup World Poll,Afghanistan,AFG,Afghanistan,42009,AFG2009,2009,4,1,Southern Asia,1000,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,"Dari, Pashto",,,private,1,,,1.66,4,Gender-matched sampling was used during the final stage of selection.,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Afghanistan
AFG2010111,42010111,GWP,Gallup World Poll,Afghanistan,AFG,Afghanistan,42010,AFG2010,2010,5,1,Southern Asia,1000,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,"Dari, Pashto",,,private,1,,,1.72,4.1,Gender-matched sampling was used during the final stage of selection.,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Afghanistan
AFG2008111,42008111,GWP,Gallup World Poll,Afghanistan,AFG,Afghanistan,42008,AFG2008,2008,3,1,Southern Asia,1010,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,"Dari, Pashto",,,private,1,,,1.43,3.7,Gender-matched sampling was used during the final stage of selection.,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Afghanistan
AFG201271,4201271,VOTP,Voice of the People,Afghanistan,AFG,Afghanistan,42012,AFG2012,2012,9,1,Southern Asia,1636,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,,,,public,1,1,.,,,,,,Member country after program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Afghanistan
AFG201520161,4201520161,DHS,Demographic and Health Surveys,Afghanistan,AFG,Afghanistan,42015,AFG2015,2015,,1,Southern Asia,,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,,,,,public,1,,,,,,,,Member country after program founding,Demographic & Health survey,Ongoing,Standard DHS,0,1,Demographic and Health Surveys,,DHS,1985,Member country after program founding,Afghanistan
AFG200971,4200971,VOTP,Voice of the People,Afghanistan,AFG,Afghanistan,42009,AFG2009,2009,7,1,Southern Asia,2098,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,,,,public,1,1,.,,,,,,Member country after program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Afghanistan
AFG2012112,42012112,GWP,Gallup World Poll,Afghanistan,AFG,Afghanistan,42012,AFG2012,2012,7,2,Southern Asia,1000,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,"Dari, Pashto",,,private,1,,,1.49,3.78,Gender-matched sampling was used during the final stage of selection.,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Afghanistan
AFG2009112,42009112,GWP,Gallup World Poll,Afghanistan,AFG,Afghanistan,42009,AFG2009,2009,4,2,Southern Asia,1000,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,"Dari, Pashto",,,private,1,,,1.68,4,Gender-matched sampling was used during the final stage of selection.,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Afghanistan
AFG200371,4200371,VOTP,Voice of the People,Afghanistan,AFG,Afghanistan,42003,AFG2003,2003,2,1,Southern Asia,2195,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,,,,public,1,1,.,,,,,,Member country after program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Afghanistan
AFG2013111,42013111,GWP,Gallup World Poll,Afghanistan,AFG,Afghanistan,42013,AFG2013,2013,8,1,Southern Asia,1000,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,"Dari, Pashto",,,private,1,,,1.52,3.8,Gender-matched sampling was used during the final stage of selection,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Afghanistan
AFG2005171,42005171,ASIAB,AsiaBarometer,Afghanistan,AFG,Afghanistan,42005,AFG2005,2005,3,1,Southern Asia,874,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,1,1,AsiaBarometer,,ASIAB,2003,Member country after program founding,Afghanistan
AFG2011111,42011111,GWP,Gallup World Poll,Afghanistan,AFG,Afghanistan,42011,AFG2011,2011,6,1,Southern Asia,1000,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,"Dari, Pashto",,,private,1,,,1.6,3.9,Gender-matched sampling was used during the final stage of selection.,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Afghanistan
AFG2014111,42014111,GWP,Gallup World Poll,Afghanistan,AFG,Afghanistan,42014,AFG2014,2014,9,1,Southern Asia,1000,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,"Dari, Pashto",,,private,1,,,1.36,3.6,Gender-matched sampling was used during the final stage of selection.,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Afghanistan
AFG200471,4200471,VOTP,Voice of the People,Afghanistan,AFG,Afghanistan,42004,AFG2004,2004,3,1,Southern Asia,2153,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,,,,public,1,1,.,,,,,,Member country after program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Afghanistan
AFG201171,4201171,VOTP,Voice of the People,Afghanistan,AFG,Afghanistan,42011,AFG2011,2011,8,1,Southern Asia,1031,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,,,,public,1,1,.,,,,,,Member country after program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Afghanistan
AFG2012111,42012111,GWP,Gallup World Poll,Afghanistan,AFG,Afghanistan,42012,AFG2012,2012,7,1,Southern Asia,1000,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,"Dari, Pashto",,,private,1,,,1.52,3.8,Gender-matched sampling was used during the final stage of selection.,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Afghanistan
